,County,Median Sale Price,Average Sale Price
176,Fairfield,395379.12,609534.48
177,Fairfield,426055.08,640786.16
178,Fairfield,364093.04,561906.96
179,Fairfield,367429.9,559482.04
180,Fairfield,364626.6,587193.77
181,Fairfield,363168.1,569133.9
182,Fairfield,355931.66,556595.72
183,Fairfield,381455.52,581674.81
184,Fairfield,397933.84,590068.24
185,Fairfield,434747.1,682638.23
186,Fairfield,420723.0,609718.55
187,Fairfield,415001.17,582878.34
188,Fairfield,403894.08,583864.88
189,Fairfield,364626.6,530084.23
190,Fairfield,392674.8,575586.48
191,Fairfield,375565.4,545225.38
192,Fairfield,362488.11,559668.52
193,Fairfield,351503.62,551667.18
194,Fairfield,356995.87,543899.77
195,Fairfield,420156.67,608892.85
196,Fairfield,415213.65,582186.6
197,Fairfield,442674.87,645940.31
198,Fairfield,411918.31,628237.05
199,Fairfield,417410.55,634336.81
200,Fairfield,408073.74,586690.26
201,Fairfield,373417.68,519879.38
202,Fairfield,389949.33,578654.3
203,Fairfield,411863.38,645562.16
204,Fairfield,364597.93,532966.25
205,Fairfield,386044.87,612839.35
206,Fairfield,359236.2,593526.55
207,Fairfield,390334.26,651792.18
208,Fairfield,407384.57,599514.25
209,Fairfield,447409.92,675246.68
210,Fairfield,450385.68,683754.16
211,Fairfield,450385.68,802001.39
212,Fairfield,386044.87,598227.19
213,Fairfield,353874.47,513006.45
214,Fairfield,375321.4,554322.86
215,Fairfield,386044.87,577571.52
216,Fairfield,360215.13,531718.55
217,Fairfield,321244.49,456962.32
218,Fairfield,358108.61,517567.08
219,Fairfield,370747.74,553808.95
220,Fairfield,394972.73,583053.59
221,Fairfield,429203.71,639814.2
222,Fairfield,421304.25,600879.49
223,Fairfield,421304.25,618666.58
224,Fairfield,384440.13,555073.06
225,Fairfield,357581.98,510875.9
226,Fairfield,373907.52,573773.78
227,Fairfield,389706.43,547687.77
228,Fairfield,374498.68,589761.06
229,Fairfield,353693.2,502743.79
230,Fairfield,390102.79,551790.74
231,Fairfield,395304.16,524535.91
232,Fairfield,435354.72,636718.08
233,Fairfield,484767.74,762461.94
234,Fairfield,540942.54,793033.77
235,Fairfield,548224.46,820000.51
236,Fairfield,534700.9,823486.6
237,Fairfield,509734.32,752831.97
238,Fairfield,481126.78,715010.5
239,Fairfield,510774.59,768184.15
240,Fairfield,439500.0,613531.92
241,Fairfield,442000.0,719660.08
242,Fairfield,445000.0,705148.82
243,Fairfield,459900.0,761882.02
244,Fairfield,510000.0,855724.21
245,Fairfield,540000.0,843103.42
246,Fairfield,550000.0,883779.04
247,Fairfield,522000.0,807179.08
248,Fairfield,454000.0,689336.69
249,Fairfield,455000.0,677496.64
250,Hartford,192398.23,223857.89
