Y,X,X1,X2,X3,X4,X5
Tunisia,76.699,74.88,72.904,68.176,61.01,50.001
Turkey,77.691,74.074,69.417,63.763,58.023,51.678
Turkmenistan,68.191,66.355,63.413,62.82,60.701,58.147
Uganda,63.368,56.06,45.373,46.492,49.988,49.005
Ukraine,71.82731707,69.19,67.98097561,70.53902439,68.91512195,70.24756098
United Arab Emirates,77.972,76.145,74.106,71.657,67.692,60.304
United Kingdom,81.20487805,80.05121951,77.3902439,75.58292683,73.27560976,71.72195122
United States,78.78780488,78.3902439,76.58292683,75.01707317,73.80487805,70.50731707
Uruguay,77.911,76.603,74.523,72.386,69.983,68.588
Uzbekistan,71.725,69.435,66.959,66.512,64.385,62.097
Vanuatu,70.474,68.974,67.134,64.368,59.391,53.915
"Venezuela, RB",72.064,73.116,71.93,70.491,68.281,64.427
Vietnam,75.4,74.745,72.824,70.252,66.865,60.383
Virgin Islands (U.S.),79.66829268,77.51463415,76.46185366,73.9782439,71.47097561,68.74821951
"Yemen, Rep.",66.125,65.255,60.204,56.881,47.265,35.78
Zambia,63.886,54.13,43.594,50.282,52.722,49.7
Zimbabwe,61.49,48.449,45.461,59.235,59.274,56.656
